spectrum_id,compound_name,CAS_number,adhesive_class,spectral_type,wavenumber_range,measurement_conditions,instrument,baseline_correction_method,source_database,source_doi,Q_SNR,Q_res,Q_base,Q_peak,Q_total,qc_disposition,data_quality_notes
SPEC-00695,Vinyltrimethoxysilane,2768-02-7,Silicone,Raman,200-3500 cm-1,"25C, N2 purge",WITec alpha300,Rubberband,NIST WebBook,10.8583/cd48d27e,0.774,0.834,0.896,0.607,0.78,ACCEPT,
SPEC-00200,Hydroxypropyl methacrylate,27813-02-1,Acrylic/PSA,Raman,200-3500 cm-1,"25C, N2 purge",Thermo DXR3,SNIP,KnowItAll,10.2943/624d569e,0.678,0.986,0.944,0.653,0.803,ACCEPT,
SPEC-00186,Methyl methacrylate,80-62-6,Acrylic/PSA,Raman,200-3500 cm-1,"Ambient, 785nm laser",WITec alpha300,Rubberband,PubChem,10.7504/8cba5b61,0.97,0.67,0.947,0.67,0.83,ACCEPT,
SPEC-00316,Nitrile rubber,9003-18-3,Rubber-based,Raman,200-3500 cm-1,"Room temperature, ambient atmosphere",WITec alpha300,Rubberband,PubChem,10.7468/7856705a,0.953,0.79,0.947,0.791,0.879,ACCEPT,
SPEC-00785,Methyl cyanoacrylate,137-05-3,Cyanoacrylate,IR,650-4000 cm-1,"25C, N2 purge",JASCO FT/IR-6600,Rubberband,NIST WebBook,10.5496/20938547,0.767,0.87,0.663,0.898,0.798,ACCEPT,
SPEC-00094,Acrylic acid,79-10-7,Acrylic/PSA,FTIR,650-4000 cm-1,"23C, dry air",Bruker Vertex 70,ALS,SDBS,10.7242/afabd21c,0.838,0.782,0.853,0.869,0.833,ACCEPT,
SPEC-00342,Polybutadiene,9003-17-2,Rubber-based,Raman,200-3500 cm-1,"23C, dry air",Thermo DXR3,Rubberband,KnowItAll,10.1230/e87177b6,0.988,0.753,0.567,0.68,0.783,ACCEPT,
SPEC-00686,Methyltrimethoxysilane,1185-55-3,Silicone,IR,650-4000 cm-1,"Room temperature, ambient atmosphere",PerkinElmer Spectrum Two,Polynomial (3rd order),NIST WebBook,10.5412/af6dade8,0.66,0.784,0.868,0.792,0.759,ACCEPT,
SPEC-00907,Hexamethylene diisocyanate,822-06-0,Polyurethane,FTIR,650-4000 cm-1,"25C, N2 purge",Thermo Nicolet iS50,SNIP,SpectraBase,10.8308/7619959d,0.744,0.833,0.913,0.901,0.831,ACCEPT,
SPEC-00025,Methyl acrylate,96-33-3,Acrylic/PSA,FTIR,650-4000 cm-1,"23C, dry air",JASCO FT/IR-6600,SNIP,Open SPECY,10.3144/5b0a4459,0.977,0.682,0.872,0.695,0.826,ACCEPT,
