spectrum_id,compound_name,adhesive_class,spectral_type,wn_400,wn_418,wn_436,wn_454,wn_472,wn_490,wn_509,wn_527,wn_545,wn_563,wn_581,wn_599,wn_617,wn_635,wn_653,wn_671,wn_689,wn_708,wn_726,wn_744,wn_762,wn_780,wn_798,wn_816,wn_834,wn_852,wn_870,wn_888,wn_907,wn_925,wn_943,wn_961,wn_979,wn_997,wn_1015,wn_1033,wn_1051,wn_1069,wn_1087,wn_1106,wn_1124,wn_1142,wn_1160,wn_1178,wn_1196,wn_1214,wn_1232,wn_1250,wn_1268,wn_1286,wn_1305,wn_1323,wn_1341,wn_1359,wn_1377,wn_1395,wn_1413,wn_1431,wn_1449,wn_1467,wn_1485,wn_1504,wn_1522,wn_1540,wn_1558,wn_1576,wn_1594,wn_1612,wn_1630,wn_1648,wn_1666,wn_1684,wn_1703,wn_1721,wn_1739,wn_1757,wn_1775,wn_1793,wn_1811,wn_1829,wn_1847,wn_1865,wn_1883,wn_1902,wn_1920,wn_1938,wn_1956,wn_1974,wn_1992,wn_2010,wn_2028,wn_2046,wn_2064,wn_2082,wn_2101,wn_2119,wn_2137,wn_2155,wn_2173,wn_2191,wn_2209,wn_2227,wn_2245,wn_2263,wn_2281,wn_2299,wn_2318,wn_2336,wn_2354,wn_2372,wn_2390,wn_2408,wn_2426,wn_2444,wn_2462,wn_2480,wn_2498,wn_2517,wn_2535,wn_2553,wn_2571,wn_2589,wn_2607,wn_2625,wn_2643,wn_2661,wn_2679,wn_2697,wn_2716,wn_2734,wn_2752,wn_2770,wn_2788,wn_2806,wn_2824,wn_2842,wn_2860,wn_2878,wn_2896,wn_2915,wn_2933,wn_2951,wn_2969,wn_2987,wn_3005,wn_3023,wn_3041,wn_3059,wn_3077,wn_3095,wn_3114,wn_3132,wn_3150,wn_3168,wn_3186,wn_3204,wn_3222,wn_3240,wn_3258,wn_3276,wn_3294,wn_3313,wn_3331,wn_3349,wn_3367,wn_3385,wn_3403,wn_3421,wn_3439,wn_3457,wn_3475,wn_3493,wn_3512,wn_3530,wn_3548,wn_3566,wn_3584,wn_3602,wn_3620,wn_3638,wn_3656,wn_3674,wn_3692,wn_3711,wn_3729,wn_3747,wn_3765,wn_3783,wn_3801,wn_3819,wn_3837,wn_3855,wn_3873,wn_3891,wn_3910,wn_3928,wn_3946,wn_3964,wn_3982,wn_4000
SPEC-00695,Vinyltrimethoxysilane,Silicone,Raman,0.122209,0.114308,0.173856,0.264892,0.511152,0.893913,0.640896,0.328482,0.190251,0.176251,0.202862,0.299983,0.484629,0.311271,0.221887,0.195063,0.382380,0.602686,0.314108,0.211684,0.265342,0.473251,0.778611,0.596220,0.304068,0.187267,0.135238,0.154683,0.132144,0.132239,0.118305,0.121736,0.096812,0.138895,0.122527,0.119710,0.108269,0.126936,0.126483,0.137804,0.118781,0.139072,0.123145,0.128410,0.130801,0.147280,0.149644,0.304282,1.000000,0.339714,0.192322,0.150264,0.157952,0.148448,0.168656,0.278854,0.362972,0.205269,0.150270,0.124112,0.146276,0.126797,0.139464,0.146201,0.198363,0.215985,0.174173,0.151796,0.128994,0.117274,0.133758,0.123452,0.142181,0.119199,0.098778,0.094724,0.107940,0.115341,0.129769,0.132763,0.128625,0.118182,0.112422,0.125704,0.106499,0.128912,0.102372,0.112804,0.133334,0.105761,0.115236,0.153686,0.118521,0.126033,0.131681,0.131763,0.101237,0.096143,0.130100,0.126944,0.117005,0.116782,0.120030,0.118754,0.103107,0.123054,0.126105,0.126565,0.108787,0.129691,0.114599,0.137098,0.105884,0.117470,0.127138,0.113276,0.110303,0.102462,0.100687,0.094810,0.122231,0.120355,0.112812,0.124458,0.102529,0.111618,0.103495,0.115175,0.127183,0.104716,0.128001,0.123360,0.127766,0.127390,0.141326,0.162309,0.210406,0.328493,0.612442,0.914928,0.771619,0.734378,0.849463,0.566687,0.311965,0.181780,0.143286,0.144322,0.115898,0.125234,0.150526,0.096912,0.078428,0.101891,0.087913,0.099862,0.092219,0.107893,0.087902,0.074653,0.082821,0.086998,0.095510,0.083970,0.104547,0.086983,0.075867,0.094746,0.085413,0.092797,0.085013,0.079820,0.082459,0.072108,0.091296,0.088316,0.071972,0.089216,0.092732,0.064113,0.083104,0.073772,0.067183,0.077772,0.083618,0.057908,0.078367,0.099877,0.052912,0.091756,0.076098,0.083845,0.083557,0.072896,0.092688,0.069738,0.048658,0.042149,0.081512,0.073454
SPEC-00200,Hydroxypropyl methacrylate,Acrylic/PSA,Raman,0.063045,0.082135,0.084436,0.092251,0.081609,0.095799,0.097164,0.111974,0.120324,0.164364,0.286115,0.398454,0.216626,0.129954,0.090904,0.111009,0.077807,0.085617,0.122383,0.106171,0.120134,0.161412,0.334918,0.400233,0.206605,0.137857,0.114365,0.139292,0.129355,0.114859,0.174221,0.248702,0.432728,0.486054,0.282503,0.177393,0.139769,0.140079,0.123989,0.129214,0.168034,0.350697,0.555053,0.347846,0.174499,0.136497,0.137686,0.114651,0.116612,0.136913,0.134674,0.139285,0.132238,0.148817,0.116064,0.152263,0.243237,0.392219,0.613720,0.515156,0.318440,0.200450,0.186865,0.163241,0.164526,0.210908,0.222838,0.296191,0.431698,0.423645,0.312887,0.323643,0.543934,1.000000,0.778479,0.397933,0.238647,0.190016,0.161366,0.167586,0.174538,0.142498,0.166739,0.159118,0.151288,0.144497,0.155284,0.162131,0.153915,0.157068,0.164934,0.175607,0.181046,0.139608,0.157545,0.159504,0.158147,0.176964,0.188406,0.170024,0.185100,0.159291,0.165351,0.187267,0.170994,0.166324,0.171647,0.159972,0.169242,0.144676,0.172896,0.167846,0.154155,0.155218,0.165167,0.176190,0.159265,0.168392,0.172797,0.168183,0.156501,0.166264,0.160406,0.153514,0.156614,0.169074,0.166102,0.160536,0.152673,0.186294,0.158496,0.232990,0.264677,0.280389,0.261483,0.222733,0.222544,0.234664,0.333570,0.493623,0.729607,0.755683,0.507213,0.311647,0.225992,0.197620,0.196537,0.168518,0.163720,0.159792,0.155106,0.163274,0.138761,0.162339,0.166598,0.146892,0.150273,0.115792,0.131466,0.141271,0.129277,0.143541,0.132635,0.134137,0.125154,0.147671,0.148196,0.187603,0.247678,0.207978,0.142471,0.116970,0.132278,0.124387,0.120489,0.126877,0.122665,0.114134,0.137409,0.139719,0.103455,0.138380,0.122152,0.116919,0.121209,0.141327,0.146428,0.129488,0.137285,0.118682,0.099912,0.098800,0.106148,0.124588,0.115831,0.098406,0.124555,0.112295,0.122401,0.132054
SPEC-00186,Methyl methacrylate,Acrylic/PSA,Raman,0.096323,0.110733,0.071072,0.104892,0.108086,0.116224,0.120914,0.115708,0.122943,0.161753,0.238440,0.354640,0.237161,0.156276,0.126096,0.125787,0.101400,0.117045,0.112073,0.128836,0.136954,0.201839,0.418264,0.488585,0.248461,0.165577,0.133762,0.119926,0.149747,0.136079,0.150127,0.204440,0.367633,0.474049,0.238726,0.168732,0.164101,0.176695,0.161082,0.199093,0.251123,0.438436,0.645559,0.509173,0.299277,0.180120,0.154650,0.145916,0.159073,0.120068,0.161535,0.142498,0.127933,0.140046,0.108149,0.173208,0.163415,0.305294,0.628529,0.480052,0.315693,0.209177,0.193158,0.144739,0.173243,0.172416,0.176170,0.263974,0.457245,0.491662,0.307680,0.262968,0.375866,0.658131,0.648569,0.320049,0.201873,0.176336,0.146627,0.140958,0.152417,0.144990,0.124305,0.126617,0.137490,0.131036,0.125494,0.143487,0.129933,0.143802,0.144595,0.151779,0.180347,0.183470,0.190245,0.162708,0.131737,0.144343,0.118163,0.136644,0.121001,0.149308,0.133133,0.129657,0.138828,0.135236,0.131083,0.136672,0.114420,0.124200,0.131543,0.105931,0.138410,0.134874,0.111828,0.120782,0.188514,0.246797,0.221495,0.139401,0.098371,0.136075,0.141931,0.115648,0.106470,0.140440,0.134863,0.129302,0.150976,0.147047,0.113806,0.137305,0.131525,0.134180,0.148487,0.186049,0.184675,0.272980,0.399507,0.676124,1.000000,0.906223,0.546538,0.337231,0.264398,0.200094,0.162780,0.129475,0.148415,0.135385,0.114286,0.118915,0.096269,0.113885,0.104371,0.120400,0.119845,0.091805,0.104064,0.125083,0.109728,0.092828,0.126294,0.109171,0.124997,0.113690,0.114189,0.103619,0.104056,0.128324,0.047953,0.084232,0.091772,0.090959,0.100702,0.102424,0.110639,0.110003,0.088837,0.131266,0.114025,0.088033,0.105835,0.084423,0.110643,0.076860,0.121050,0.046781,0.083158,0.070846,0.069299,0.099720,0.106117,0.103497,0.104004,0.081899,0.073034,0.109771,0.106501,0.095018
SPEC-00316,Nitrile rubber,Rubber-based,Raman,0.267479,0.225899,0.111886,0.081846,0.071614,0.043241,0.021828,0.042240,0.064977,0.028352,0.056053,0.092377,0.042514,0.032235,0.081706,0.119813,0.157783,0.285366,0.142642,0.073580,0.079173,0.037156,0.021334,0.026535,0.038386,0.056394,0.073723,0.031329,0.079010,0.079216,0.115379,0.196847,0.364492,0.488328,0.348130,0.172483,0.118108,0.086827,0.077493,0.099460,0.058311,0.084396,0.093078,0.050024,0.079938,0.092042,0.073311,0.098601,0.117082,0.264936,0.457715,0.522964,0.247071,0.143625,0.103729,0.180211,0.248612,0.440729,0.651548,0.488760,0.218205,0.207979,0.139966,0.112608,0.081109,0.065366,0.113009,0.193101,0.371622,0.668448,1.000000,0.609204,0.265111,0.129277,0.094303,0.058074,0.091310,0.073404,0.049644,0.076465,0.066174,0.076886,0.084692,0.050835,0.052396,0.030956,0.073807,0.088658,0.049504,0.075788,0.064864,0.055749,0.025742,0.058657,0.050964,0.058585,0.057975,0.060256,0.094382,0.098348,0.064095,0.009515,0.114403,0.027579,0.046022,0.051710,0.072919,0.050742,0.109300,0.202871,0.078005,0.070148,0.042079,0.066735,0.055821,0.039126,0.065143,0.039297,0.095434,0.068693,0.056998,0.059406,0.046403,0.085657,0.026756,0.070120,0.091132,0.093844,0.092357,0.103772,0.050655,0.145718,0.122340,0.257155,0.407620,0.680839,0.788692,0.618631,0.572466,0.698384,0.949214,0.885025,0.539756,0.366357,0.561211,0.249318,0.136272,0.097251,0.094886,0.099011,0.072139,0.125656,0.092232,0.091166,0.067459,0.084084,0.059836,0.103054,0.066549,0.057605,0.069828,0.029791,0.075593,0.056596,0.056710,0.039708,0.094304,0.076846,0.094271,0.091042,0.076780,0.067927,0.104442,0.080435,0.056104,0.060888,0.028606,0.076026,0.041966,0.051584,0.076551,0.098624,0.064645,0.082217,0.052550,0.034719,0.056658,0.048538,0.084489,0.058639,0.028235,0.027229,0.042336,0.074264,0.052806,0.047988,0.055428,0.072000,0.041056,0.081629
SPEC-00785,Methyl cyanoacrylate,Cyanoacrylate,IR,0.095519,0.081584,0.086980,0.055683,0.077366,0.090226,0.114582,0.121708,0.103515,0.092257,0.062516,0.136427,0.111740,0.085334,0.066793,0.088087,0.124198,0.135696,0.121460,0.127313,0.123846,0.155972,0.323525,0.351337,0.184000,0.134063,0.127206,0.119666,0.109285,0.096326,0.087645,0.090176,0.117803,0.150656,0.208648,0.351628,0.579765,0.403754,0.252917,0.108609,0.123056,0.187769,0.208118,0.445788,0.547817,0.201664,0.144681,0.107507,0.134918,0.154084,0.096094,0.110300,0.150404,0.344978,0.417671,0.225189,0.206610,0.358965,0.464575,0.253942,0.142964,0.124579,0.172492,0.181908,0.169766,0.138400,0.163425,0.093004,0.129698,0.127826,0.154010,0.204574,0.249046,0.570264,0.974835,1.000000,0.691396,0.428061,0.302962,0.225732,0.150069,0.151362,0.099100,0.059432,0.067751,0.079983,0.062969,0.124407,0.068752,0.060771,0.106485,0.134879,0.037629,0.079507,0.117932,0.099088,0.098026,0.105353,0.075310,0.158843,0.180253,0.460096,0.884567,0.360751,0.149451,0.095217,0.094301,0.085932,0.103035,0.101305,0.104435,0.088635,0.115329,0.075893,0.058514,0.112180,0.053400,0.060025,0.113735,0.058829,0.068136,0.070650,0.082788,0.055346,0.075433,0.076540,0.121365,0.078547,0.099410,0.081068,0.044922,0.044457,0.099750,0.134246,0.102775,0.072335,0.081498,0.117624,0.254022,0.293536,0.542386,0.540765,0.434590,0.283960,0.176802,0.118549,0.115674,0.125752,0.087512,0.096625,0.063190,0.101986,0.109349,0.103856,0.051690,0.081766,0.055626,0.073093,0.102071,0.062912,0.151406,0.073301,0.100291,0.070876,0.097071,0.045992,0.044948,0.060592,0.054273,0.071897,0.111112,0.048980,0.072769,0.039689,0.074732,0.111153,0.053094,0.039619,0.043752,0.048005,0.036433,0.103845,0.078789,0.062966,0.038863,0.053772,0.042378,0.058552,0.077883,0.055212,0.099944,0.000000,0.076863,0.127493,0.087030,0.063694,0.065650,0.131997,0.030967,0.019860
SPEC-00094,Acrylic acid,Acrylic/PSA,FTIR,0.131740,0.099806,0.116807,0.096628,0.123178,0.100791,0.113637,0.103040,0.118616,0.115844,0.105214,0.098526,0.125552,0.092065,0.098731,0.113246,0.138069,0.110965,0.154706,0.317062,0.271695,0.161270,0.116386,0.129054,0.133448,0.102541,0.119778,0.103507,0.123321,0.118571,0.110773,0.106121,0.111665,0.119297,0.106091,0.131024,0.113869,0.120035,0.143639,0.201278,0.298076,0.513732,0.742035,0.488571,0.321565,0.364712,0.682310,0.556448,0.260110,0.171848,0.154195,0.149022,0.170826,0.255723,0.473368,0.458323,0.278057,0.368405,0.552806,0.367579,0.235472,0.128811,0.163182,0.129176,0.132699,0.112011,0.120561,0.125907,0.120084,0.145905,0.159774,0.192422,0.389201,0.894191,1.000000,0.435762,0.199578,0.164387,0.152290,0.085503,0.117816,0.134907,0.099746,0.117900,0.130825,0.100189,0.101757,0.111532,0.110016,0.071064,0.096739,0.116491,0.105368,0.111443,0.098043,0.120874,0.119604,0.111994,0.122055,0.089927,0.112525,0.063403,0.073058,0.114229,0.075627,0.116975,0.054956,0.092196,0.130784,0.109140,0.113058,0.075180,0.097697,0.131630,0.071340,0.102518,0.103586,0.094769,0.077964,0.113944,0.099072,0.121557,0.101625,0.077001,0.086575,0.106857,0.110864,0.123413,0.056734,0.084592,0.122170,0.104178,0.120722,0.125572,0.191224,0.294317,0.446437,0.525840,0.460425,0.473003,0.652381,0.643986,0.524891,0.318997,0.205294,0.187997,0.141843,0.143253,0.108566,0.099485,0.113133,0.096250,0.093356,0.091776,0.084545,0.061693,0.101675,0.100532,0.079860,0.092863,0.103572,0.076697,0.116559,0.193538,0.139797,0.185021,0.202681,0.239176,0.235749,0.299657,0.243140,0.181343,0.163027,0.142627,0.111082,0.103316,0.101097,0.113787,0.118668,0.106421,0.111382,0.082443,0.079824,0.056443,0.054714,0.082990,0.080344,0.051171,0.117963,0.098724,0.107316,0.058494,0.099644,0.094372,0.057901,0.057160,0.064891,0.070881,0.113308,0.055591
SPEC-00342,Polybutadiene,Rubber-based,Raman,0.215069,0.188623,0.059908,0.052210,0.042507,0.039404,0.057117,0.053056,0.047813,0.045051,0.051948,0.044767,0.058082,0.054196,0.063786,0.121180,0.245176,0.279289,0.131332,0.074304,0.072541,0.064641,0.064820,0.076077,0.062548,0.055196,0.059429,0.067449,0.063670,0.079041,0.095595,0.149921,0.290158,0.514936,0.382618,0.189425,0.110777,0.087014,0.076110,0.074468,0.072400,0.063298,0.072244,0.071104,0.058457,0.070772,0.081112,0.093459,0.125621,0.232486,0.470649,0.361328,0.185525,0.118241,0.130746,0.154572,0.264033,0.505602,0.675528,0.381469,0.192007,0.119288,0.103080,0.075782,0.100918,0.101271,0.118321,0.137697,0.241602,0.581447,1.000000,0.556441,0.218066,0.136933,0.101803,0.102478,0.091573,0.080202,0.082411,0.081253,0.078957,0.070625,0.065736,0.067473,0.079766,0.068903,0.063560,0.081933,0.071757,0.061257,0.086644,0.056870,0.071778,0.067933,0.077246,0.069874,0.077418,0.074136,0.073939,0.084368,0.064787,0.078468,0.078019,0.094906,0.114799,0.166520,0.155331,0.127968,0.093681,0.088857,0.078941,0.077256,0.070879,0.062286,0.088203,0.072861,0.079034,0.070520,0.078197,0.072500,0.073292,0.068428,0.090128,0.076101,0.086951,0.075136,0.084438,0.084339,0.090196,0.099970,0.100658,0.117427,0.130981,0.186663,0.335410,0.585331,0.708827,0.466311,0.413568,0.519818,0.671609,0.576980,0.390195,0.303219,0.489047,0.477765,0.202034,0.128760,0.101451,0.094155,0.092534,0.086517,0.077914,0.080101,0.084028,0.070834,0.083770,0.094299,0.104161,0.105543,0.097298,0.079502,0.066914,0.073822,0.076933,0.082859,0.077733,0.063966,0.080590,0.074427,0.079576,0.071280,0.072843,0.072632,0.071357,0.071224,0.088885,0.055288,0.063830,0.080331,0.071621,0.087214,0.066600,0.068053,0.075802,0.070524,0.071657,0.069992,0.065147,0.073387,0.075646,0.078080,0.061626,0.080893,0.061014,0.075347,0.084352,0.070128,0.076122,0.079209
SPEC-00686,Methyltrimethoxysilane,Silicone,IR,0.091706,0.099618,0.119796,0.150646,0.218452,0.327183,0.267215,0.162413,0.118220,0.096548,0.106410,0.090374,0.093015,0.090607,0.090374,0.090009,0.094695,0.086955,0.107227,0.116395,0.190930,0.379474,0.614441,0.385416,0.171257,0.132259,0.163481,0.136037,0.176114,0.188964,0.292652,0.435390,0.595024,0.820390,1.000000,0.901749,0.683692,0.615808,0.600306,0.508127,0.318849,0.201545,0.169527,0.139558,0.146129,0.159404,0.274230,0.663595,0.484823,0.191912,0.114599,0.109921,0.084385,0.105073,0.119663,0.251839,0.281103,0.133869,0.080449,0.076653,0.078833,0.086270,0.082473,0.068685,0.064925,0.075965,0.072324,0.070870,0.051832,0.084777,0.065220,0.069896,0.067311,0.063253,0.090061,0.073599,0.079156,0.068232,0.057582,0.081182,0.077890,0.082361,0.073776,0.058742,0.074257,0.070425,0.059096,0.053974,0.076982,0.065061,0.068383,0.082028,0.064186,0.047537,0.064687,0.064289,0.077447,0.071357,0.073292,0.065997,0.069712,0.096607,0.093459,0.067266,0.039059,0.058633,0.081973,0.037909,0.070499,0.070659,0.082046,0.060128,0.061686,0.079445,0.070366,0.065249,0.066497,0.056150,0.074336,0.056552,0.071816,0.051576,0.064183,0.071196,0.063288,0.060206,0.056300,0.064554,0.084491,0.068395,0.057886,0.064833,0.087711,0.062038,0.070028,0.090022,0.122384,0.102078,0.137607,0.199320,0.299745,0.414142,0.416465,0.267070,0.159579,0.098258,0.091679,0.092546,0.080946,0.057127,0.093090,0.052733,0.069543,0.067864,0.078529,0.078658,0.074142,0.051459,0.078569,0.058120,0.070407,0.060553,0.072765,0.058478,0.058700,0.066821,0.061892,0.054296,0.074908,0.055501,0.065094,0.071440,0.052219,0.067515,0.042997,0.063340,0.087091,0.071228,0.075815,0.068731,0.048407,0.065670,0.057186,0.034795,0.066242,0.055010,0.053711,0.057780,0.059627,0.066065,0.055078,0.062486,0.035609,0.040353,0.078898,0.056631,0.061461,0.046549,0.041819,0.068563
SPEC-00907,Hexamethylene diisocyanate,Polyurethane,FTIR,0.093329,0.091098,0.049563,0.009134,0.108951,0.054706,0.000000,0.038988,0.025442,0.050585,0.091520,0.094347,0.074734,0.099904,0.137053,0.087227,0.094431,0.066986,0.108723,0.161393,0.370228,0.327850,0.173071,0.046969,0.099786,0.135548,0.084696,0.132986,0.140246,0.158578,0.144795,0.147651,0.102597,0.172872,0.170645,0.260615,0.401254,0.655304,0.668424,0.371268,0.218652,0.202061,0.187273,0.319658,0.567766,0.916523,0.805880,0.428842,0.254689,0.290139,0.487182,0.407113,0.210903,0.149707,0.124598,0.070556,0.114509,0.149751,0.154118,0.199259,0.216733,0.420344,0.809761,0.989857,0.631497,0.355073,0.185694,0.156772,0.128890,0.135656,0.077532,0.157580,0.329099,0.682198,1.000000,0.601485,0.319291,0.141918,0.121844,0.053168,0.055487,0.082951,0.088341,0.116326,0.115074,0.081140,0.061301,0.052883,0.049295,0.104119,0.046160,0.050559,0.030872,0.060776,0.107774,0.065056,0.062378,0.054083,0.092455,0.049329,0.097105,0.112878,0.074824,0.053980,0.031652,0.035336,0.073835,0.108897,0.097639,0.004365,0.042407,0.079529,0.098996,0.046378,0.066667,0.058427,0.067618,0.073190,0.078053,0.042695,0.081805,0.080044,0.059329,0.062533,0.082270,0.055582,0.053005,0.102194,0.099529,0.104571,0.107152,0.092719,0.075198,0.121776,0.220254,0.404794,0.587633,0.623268,0.514430,0.573988,0.602121,0.432321,0.302974,0.171845,0.106943,0.139013,0.084603,0.103571,0.137529,0.139962,0.108007,0.135759,0.183979,0.146189,0.202240,0.254604,0.353035,0.463075,0.567479,0.719639,0.781396,0.780689,0.602343,0.458237,0.326606,0.228678,0.181905,0.150536,0.157078,0.083697,0.111392,0.111591,0.109991,0.104996,0.102485,0.067814,0.092322,0.102884,0.100328,0.078122,0.054636,0.051393,0.056405,0.053345,0.055897,0.068106,0.074887,0.053360,0.060082,0.077607,0.045310,0.081237,0.020259,0.008814,0.083084,0.107645,0.098784,0.057504,0.071960,0.068838
SPEC-00025,Methyl acrylate,Acrylic/PSA,FTIR,0.037439,0.026040,0.034318,0.029128,0.037756,0.024280,0.044132,0.041787,0.035405,0.028214,0.034267,0.033020,0.034448,0.047166,0.046021,0.034059,0.052189,0.052264,0.100043,0.238499,0.291573,0.122659,0.058597,0.058808,0.052008,0.043259,0.050818,0.050742,0.040837,0.038809,0.049652,0.049698,0.059638,0.047202,0.056595,0.056445,0.066364,0.072925,0.089688,0.133932,0.246834,0.445154,0.719751,0.661011,0.407440,0.309623,0.388599,0.359251,0.190766,0.108962,0.078859,0.082934,0.082976,0.145426,0.359911,0.345637,0.273187,0.374963,0.406089,0.254614,0.131116,0.089710,0.052435,0.071347,0.051745,0.049740,0.048932,0.064188,0.061734,0.082823,0.107850,0.180129,0.427324,0.952973,1.000000,0.445158,0.190805,0.117056,0.075214,0.060407,0.054573,0.064729,0.034036,0.045326,0.053622,0.039692,0.040970,0.042755,0.035395,0.047362,0.029008,0.030367,0.033403,0.047001,0.042386,0.033785,0.030439,0.027672,0.033057,0.029540,0.031336,0.015170,0.029302,0.021992,0.042228,0.032041,0.026125,0.026077,0.033058,0.028185,0.037966,0.034295,0.030349,0.021979,0.044953,0.029434,0.027493,0.036204,0.032932,0.032726,0.030692,0.041106,0.039224,0.035739,0.038457,0.036143,0.035346,0.037257,0.030060,0.033008,0.036563,0.036540,0.055495,0.055945,0.091812,0.189980,0.356135,0.321970,0.225623,0.230753,0.359244,0.430027,0.286165,0.163013,0.084333,0.069082,0.051267,0.049027,0.042086,0.039092,0.028085,0.037112,0.046446,0.038239,0.030325,0.034176,0.021615,0.037495,0.035836,0.039787,0.043616,0.054834,0.051482,0.066561,0.087324,0.121362,0.129871,0.188047,0.211108,0.186539,0.172446,0.143811,0.103940,0.070900,0.058889,0.049507,0.031505,0.049138,0.037355,0.044205,0.035343,0.027920,0.043395,0.026480,0.025597,0.026762,0.024105,0.029048,0.033692,0.027460,0.035492,0.027004,0.040124,0.040640,0.020116,0.032283,0.038845,0.047485,0.021832,0.019637
